# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
4.291451451451451362e+02,4.494631093048096493e-01
4.301431431431431633e+02,4.496597501444884459e-01
4.311411411411411336e+02,4.498560734865844624e-01
4.321391391391391608e+02,4.500520798437313563e-01
4.331371371371371310e+02,4.502477697277350588e-01
4.341351351351351582e+02,4.504431436495752172e-01
4.351331331331331285e+02,4.506382021194064169e-01
4.361311311311311556e+02,4.508329456465595131e-01
4.371291291291291259e+02,4.510273747395429633e-01
4.381271271271271530e+02,4.512214899060442708e-01
4.391251251251251233e+02,4.514152916529312054e-01
4.401231231231231504e+02,4.516087804862530808e-01
4.411211211211211207e+02,4.518019569112421974e-01
4.421191191191191479e+02,4.519948214323150637e-01
4.431171171171171181e+02,4.521873745530738398e-01
4.441151151151151453e+02,4.523796167763074472e-01
4.451131131131131156e+02,4.525715486039930679e-01
4.461111111111111427e+02,4.527631705372974213e-01
4.471091091091091130e+02,4.529544830765779295e-01
4.481071071071071401e+02,4.531454867213842719e-01
4.491051051051051104e+02,4.533361819704593842e-01
4.501031031031031375e+02,4.535265693217411243e-01
4.511011011011011078e+02,4.537166492723632705e-01
4.520990990990991349e+02,4.539064223186568547e-01
4.530970970970971052e+02,4.540958889561516609e-01
4.540950950950951324e+02,4.542850496795773907e-01
4.550930930930931027e+02,4.544739049828647737e-01
4.560910910910911298e+02,4.546624553591472884e-01
4.570890890890891001e+02,4.548507013007618838e-01
4.580870870870871272e+02,4.550386432992509778e-01
4.590850850850850975e+02,4.552262818453630122e-01
4.600830830830831246e+02,4.554136174290541739e-01
4.610810810810810949e+02,4.556006505394895600e-01
4.620790790790791220e+02,4.557873816650445109e-01
4.630770770770770923e+02,4.559738112933057197e-01
4.640750750750751195e+02,4.561599399110727315e-01
4.650730730730730897e+02,4.563457680043590536e-01
4.660710710710711169e+02,4.565312960583934876e-01
4.670690690690690872e+02,4.567165245576212396e-01
4.680670670670671143e+02,4.569014539857056967e-01
4.690650650650650846e+02,4.570860848255288156e-01
4.700630630630631117e+02,4.572704175591933429e-01
4.710610610610610820e+02,4.574544526680233147e-01
4.720590590590590523e+02,4.576381906325658333e-01
4.730570570570570794e+02,4.578216319325918993e-01
4.740550550550550497e+02,4.580047770470980217e-01
4.750530530530530768e+02,4.581876264543072730e-01
4.760510510510510471e+02,4.583701806316706207e-01
4.770490490490490743e+02,4.585524400558680380e-01
4.780470470470470445e+02,4.587344052028099473e-01
4.790450450450450717e+02,4.589160765476382742e-01
4.800430430430430420e+02,4.590974545647278915e-01
4.810410410410410691e+02,4.592785397276876735e-01
4.820390390390390394e+02,4.594593325093617731e-01
4.830370370370370665e+02,4.596398333818310089e-01
4.840350350350350368e+02,4.598200428164137543e-01
4.850330330330330639e+02,4.599999612836676022e-01
4.860310310310310342e+02,4.601795892533902532e-01
4.870290290290290613e+02,4.603589271946210149e-01
4.880270270270270316e+02,4.605379755756416893e-01
4.890250250250250588e+02,4.607167348639780724e-01
4.900230230230230291e+02,4.608952055264011749e-01
4.910210210210210562e+02,4.610733880289282216e-01
4.920190190190190265e+02,4.612512828368240947e-01
4.930170170170170536e+02,4.614288904146024439e-01
4.940150150150150239e+02,4.616062112260267969e-01
4.950130130130130510e+02,4.617832457341120578e-01
4.960110110110110213e+02,4.619599944011254511e-01
4.970090090090090484e+02,4.621364576885877984e-01
4.980070070070070187e+02,4.623126360572748506e-01
4.990050050050050459e+02,4.624885299672182870e-01
5.000030030030030161e+02,4.626641398777070480e-01
5.010010010010010433e+02,4.628394662472885002e-01
5.019989989989990136e+02,4.630145095337696581e-01
5.029969969969970407e+02,4.631892701942183499e-01
5.039949949949950110e+02,4.633637486849644382e-01
5.049929929929930381e+02,4.635379454616008754e-01
5.059909909909910084e+02,4.637118609789851464e-01
5.069889889889890355e+02,4.638854956912403238e-01
5.079869869869870058e+02,4.640588500517561221e-01
5.089849849849850330e+02,4.642319245131902861e-01
5.099829829829830032e+02,4.644047195274698114e-01
5.109809809809810304e+02,4.645772355457918334e-01
5.119789789789790007e+02,4.647494730186250145e-01
5.129769769769770846e+02,4.649214323957107098e-01
5.139749749749749981e+02,4.650931141260641888e-01
5.149729729729729115e+02,4.652645186579756342e-01
5.159709709709709387e+02,4.654356464390114745e-01
5.169689689689689658e+02,4.656064979160154937e-01
5.179669669669669929e+02,4.657770735351099423e-01
5.189649649649650200e+02,4.659473737416968131e-01
5.199629629629629335e+02,4.661173989804590079e-01
5.209609609609609606e+02,4.662871496953612804e-01
5.219589589589589878e+02,4.664566263296516802e-01
5.229569569569570149e+02,4.666258293258625511e-01
5.239549549549549283e+02,4.667947591258116979e-01
5.249529529529529555e+02,4.669634161706036624e-01
5.259509509509509826e+02,4.671318009006306116e-01
5.269489489489490097e+02,4.672999137555737814e-01
5.279469469469469232e+02,4.674677551744044202e-01
5.289449449449449503e+02,4.676353255953851762e-01
5.299429429429429774e+02,4.678026254560707642e-01
5.309409409409410046e+02,4.679696551933097415e-01
5.319389389389389180e+02,4.681364152432451187e-01
5.329369369369369451e+02,4.683029060413157474e-01
5.339349349349349723e+02,4.684691280222575416e-01
5.349329329329329994e+02,4.686350816201043101e-01
5.359309309309309128e+02,4.688007672681892002e-01
5.369289289289289400e+02,4.689661853991455853e-01
5.379269269269269671e+02,4.691313364449084533e-01
5.389249249249249942e+02,4.692962208367152388e-01
5.399229229229229077e+02,4.694608390051071556e-01
5.409209209209209348e+02,4.696251913799303068e-01
5.419189189189189619e+02,4.697892783903366842e-01
5.429169169169169891e+02,4.699531004647854449e-01
5.439149149149149025e+02,4.701166580310438547e-01
5.449129129129129296e+02,4.702799515161886212e-01
5.459109109109109568e+02,4.704429813466067811e-01
5.469089089089089839e+02,4.706057479479970329e-01
5.479069069069068973e+02,4.707682517453706805e-01
5.489049049049049245e+02,4.709304931630527435e-01
5.499029029029029516e+02,4.710924726246832339e-01
5.509009009009009787e+02,4.712541905532180997e-01
5.518988988988988922e+02,4.714156473709303352e-01
5.528968968968969193e+02,4.715768434994112579e-01
5.538948948948949464e+02,4.717377793595713409e-01
5.548928928928929736e+02,4.718984553716415453e-01
5.558908908908908870e+02,4.720588719551742640e-01
5.568888888888889142e+02,4.722190295290445428e-01
5.578868868868869413e+02,4.723789285114510239e-01
5.588848848848848547e+02,4.725385693199172232e-01
5.598828828828828819e+02,4.726979523712924181e-01
5.608808808808809090e+02,4.728570780817529795e-01
5.618788788788789361e+02,4.730159468668031497e-01
5.628768768768768496e+02,4.731745591412763186e-01
5.638748748748748767e+02,4.733329153193362449e-01
